,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Genus,ScientificName,CommonName,Year,Date,Age
218,184542,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,1701 40th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2/13/18 0:00,3,3x3,37.75497106,-122.4991718,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,2018,2018-02-13 00:00:00,6
226,24492,Permitted Site,Lophostemon confertus :: Brisbane Box,495X Fell St,6.0,Sidewalk: Curb side : Cutout,Private,6/24/95 0:00,6,3X3,37.77560902,-122.4249888,Lophostemon,Lophostemon confertus,Brisbane Box,1995,1995-06-24 00:00:00,29
227,177596,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2969 Alemany Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,1/30/18 0:00,17,Width 2ft,37.71136852,-122.4526619,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,2018,2018-01-30 00:00:00,6
237,49525,DPW Maintained,Lophostemon confertus :: Brisbane Box,575@ DIVISION 10th St,4.0,Sidewalk: Curb side : Cutout,Private,4/23/03 0:00,7,,37.76969642,-122.4087483,Lophostemon,Lophostemon confertus,Brisbane Box,2003,2003-04-23 00:00:00,21
263,13795,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,929 Market St,4.0,Sidewalk: Curb side : Cutout,DPW,9/12/93 0:00,30,3X3,37.78339759,-122.4085601,Platanus,Platanus x,Sycamore: London Plane,1993,1993-09-12 00:00:00,31
264,30362,DPW Maintained,Pittosporum undulatum :: Victorian Box,606 Arkansas St,1.0,Sidewalk: Curb side : Cutout,Private,3/2/56 0:00,11,,37.75852471,-122.3981897,Pittosporum,Pittosporum undulatum,Victorian Box,2056,2056-03-02 00:00:00,-32
279,10545,DPW Maintained,Lophostemon confertus :: Brisbane Box,165 Harbor Rd,2.0,Sidewalk: Curb side : Cutout,DPW,2/12/92 0:00,12,3X4,37.732451,-122.3785079,Lophostemon,Lophostemon confertus,Brisbane Box,1992,1992-02-12 00:00:00,32
291,23044,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1000 Valencia St,3.0,Sidewalk: Curb side : Cutout,DPW,2/1/95 0:00,18,3x3,37.75668817,-122.4212589,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1995,1995-02-01 00:00:00,29
314,138948,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,738 HAYES ST,1.0,Sidewalk: Curb side : Cutout,Private,8/7/08 0:00,4,Width 0ft,37.7762322,-122.4286181,Platanus,Platanus x,Sycamore: London Plane,2008,2008-08-07 00:00:00,16
315,44181,DPW Maintained,Pittosporum undulatum :: Victorian Box,3731 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,12/15/00 0:00,8,,37.80435416,-122.4421061,Pittosporum,Pittosporum undulatum,Victorian Box,2000,2000-12-15 00:00:00,24
329,43773,DPW Maintained,Pittosporum undulatum :: Victorian Box,103 19th Ave,5.0,Sidewalk: Curb side : Cutout,Private,7/26/00 0:00,6,,37.78567623,-122.478781,Pittosporum,Pittosporum undulatum,Victorian Box,2000,2000-07-26 00:00:00,24
331,102923,DPW Maintained,Pittosporum undulatum :: Victorian Box,1461 Pine St,1.0,Sidewalk: Curb side : Cutout,Private,3/12/13 0:00,1,3x3,37.78962626,-122.4198788,Pittosporum,Pittosporum undulatum,Victorian Box,2013,2013-03-12 00:00:00,11
351,95337,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,855@Broadway Battery St,2.0,Sidewalk: Curb side : Cutout,Private,8/17/11 0:00,4,3x3,37.79909187,-122.4012351,Platanus,Platanus x,Sycamore: London Plane,2011,2011-08-17 00:00:00,13
358,95966,DPW Maintained,Pittosporum undulatum :: Victorian Box,5500 Geary Blvd,1.0,Median :,DPW,3/12/11 0:00,2,,37.7805919,-122.4785275,Pittosporum,Pittosporum undulatum,Victorian Box,2011,2011-03-12 00:00:00,13
366,76145,DPW Maintained,Lophostemon confertus :: Brisbane Box,2999X Polk St,3.0,Sidewalk: Curb side : Cutout,SFUSD,11/16/96 0:00,6,4x4,37.8033776,-122.4241268,Lophostemon,Lophostemon confertus,Brisbane Box,1996,1996-11-16 00:00:00,28
382,86403,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1719 26th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,12/19/06 0:00,3,3x3,37.75532907,-122.4841614,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2006,2006-12-19 00:00:00,18
414,62400,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1080 Chestnut St,1.0,Sidewalk: Curb side : Cutout,Private,10/25/85 0:00,7,,37.80285682,-122.4208902,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1985,1985-10-25 00:00:00,39
418,211747,DPW Maintained,Pittosporum undulatum :: Victorian Box,70 Forest Side Ave,1.0,Sidewalk: Curb side : Cutout,Private,3/6/17 0:00,3,Width 3ft,37.74210344,-122.4683732,Pittosporum,Pittosporum undulatum,Victorian Box,2017,2017-03-06 00:00:00,7
433,42729,DPW Maintained,Pittosporum undulatum :: Victorian Box,1790 Yosemite Ave,4.0,Sidewalk: Curb side : Cutout,Private,6/26/00 0:00,9,,37.7287859,-122.3949019,Pittosporum,Pittosporum undulatum,Victorian Box,2000,2000-06-26 00:00:00,24
494,92336,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2570 32nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,7/28/09 0:00,1,3x3,37.73928609,-122.4893228,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2009,2009-07-28 00:00:00,15
499,13438,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2X Market St,6.0,Sidewalk: Curb side : Cutout,DPW,12/12/02 0:00,6,4x4,37.79432565,-122.3952546,Platanus,Platanus x,Sycamore: London Plane,2002,2002-12-12 00:00:00,22
519,5020,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,4.0,Sidewalk: Curb side : Cutout,Private,1/6/92 0:00,3,2X2,37.74301859,-122.4370193,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1992,1992-01-06 00:00:00,32
548,51292,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,178 Delta St,1.0,Sidewalk: Curb side : Cutout,Private,8/26/04 0:00,4,,37.71616097,-122.4082335,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2004,2004-08-26 00:00:00,20
549,63559,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3655 Lawton St,1.0,Sidewalk: Curb side : Cutout,Private,4/27/87 0:00,7,,37.75676603,-122.5022953,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1987,1987-04-27 00:00:00,37
555,20175,DPW Maintained,Pittosporum undulatum :: Victorian Box,1200X Steiner St,4.0,Sidewalk: Curb side : Cutout,DPW,1/2/91 0:00,6,3X3,37.7807144,-122.4337918,Pittosporum,Pittosporum undulatum,Victorian Box,1991,1991-01-02 00:00:00,33
559,60371,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1443 Palou Ave,1.0,Sidewalk: Curb side : Cutout,Private,10/26/82 0:00,9,3x3,37.73225439,-122.3880436,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1982,1982-10-26 00:00:00,42
579,31387,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1314 Ulloa St,1.0,Sidewalk: Curb side : Cutout,Private,4/21/95 0:00,12,3x3,37.74147654,-122.4705383,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,1995,1995-04-21 00:00:00,29
590,21914,DPW Maintained,Lophostemon confertus :: Brisbane Box,2190 03rd St,4.0,Sidewalk: Curb side : Cutout,DPW,10/10/17 12:13,3,3X3,37.76215959,-122.3888532,Lophostemon,Lophostemon confertus,Brisbane Box,2017,2017-10-10 12:13:00,7
600,29321,DPW Maintained,Lophostemon confertus :: Brisbane Box,1250X Portola Dr,10.0,Median : Cutout,DPW,10/14/05 0:00,3,3X3,37.74005199,-122.4632537,Lophostemon,Lophostemon confertus,Brisbane Box,2005,2005-10-14 00:00:00,19
631,50236,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1450 32nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,8/27/03 0:00,5,,37.76012011,-122.4907854,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2003,2003-08-27 00:00:00,21
644,29273,DPW Maintained,Lophostemon confertus :: Brisbane Box,300X Portola Dr,17.0,Median : Cutout,DPW,10/14/05 0:00,3,3X3,37.74666796,-122.4469037,Lophostemon,Lophostemon confertus,Brisbane Box,2005,2005-10-14 00:00:00,19
649,38849,DPW Maintained,Pittosporum undulatum :: Victorian Box,1567 20th Ave,2.0,Sidewalk: Curb side : Cutout,Private,11/2/98 0:00,7,,37.75852933,-122.4779354,Pittosporum,Pittosporum undulatum,Victorian Box,1998,1998-11-02 00:00:00,26
673,17750,DPW Maintained,Lophostemon confertus :: Brisbane Box,1661 Pine St,2.0,Sidewalk: Curb side : Cutout,Private,1/20/00 0:00,4,3X3,37.7891686,-122.4234991,Lophostemon,Lophostemon confertus,Brisbane Box,2000,2000-01-20 00:00:00,24
703,28341,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3119 Mission St,3.0,Sidewalk: Curb side : Cutout,DPW,1/12/04 0:00,6,3X3,37.74755461,-122.4184944,Platanus,Platanus x,Sycamore: London Plane,2004,2004-01-12 00:00:00,20
724,27836,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,900X The Embarcadero,9.0,Sidewalk: Curb side : Cutout,Port,12/20/00 0:00,24,,37.80288457,-122.4006465,Platanus,Platanus x,Sycamore: London Plane,2000,2000-12-20 00:00:00,24
730,7715,DPW Maintained,Lophostemon confertus :: Brisbane Box,101X Franklin St,3.0,Sidewalk: Curb side : Cutout,DPW,2/15/05 0:00,7,3X3,37.77523536,-122.4210481,Lophostemon,Lophostemon confertus,Brisbane Box,2005,2005-02-15 00:00:00,19
756,2724,Permitted Site,Pittosporum undulatum :: Victorian Box,2205X Bush St,3.0,Sidewalk: Curb side : Cutout,Private,5/12/92 0:00,12,3x3,37.78693847,-122.433559,Pittosporum,Pittosporum undulatum,Victorian Box,1992,1992-05-12 00:00:00,32
792,27922,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,100 The Embarcadero,16.0,Sidewalk: Curb side : Cutout,Port,2/1/01 0:00,12,3X3,37.78063781,-122.3889473,Platanus,Platanus x,Sycamore: London Plane,2001,2001-02-01 00:00:00,23
797,17034,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1160X Oak St,3.0,Sidewalk: Curb side : Cutout,DPW,9/30/14 13:41,3,,37.77307325,-122.4384448,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2014,2014-09-30 13:41:00,10
809,63575,DPW Maintained,Pittosporum undulatum :: Victorian Box,1335 Filbert St,1.0,Sidewalk: Curb side : Cutout,Private,4/30/87 0:00,9,,37.79974906,-122.4215562,Pittosporum,Pittosporum undulatum,Victorian Box,1987,1987-04-30 00:00:00,37
855,60308,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1748 Grove St,1.0,Sidewalk: Curb side : Cutout,Private,10/7/82 0:00,9,,37.77504909,-122.4454422,Platanus,Platanus x,Sycamore: London Plane,1982,1982-10-07 00:00:00,42
857,260400,Private,Tristaniopsis laurina :: Swamp Myrtle,190 Parker Ave,4.0,Sidewalk: Curb side : Cutout,Private,8/21/19 0:00,3,,37.78186647,-122.4541596,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2019,2019-08-21 00:00:00,5
867,29335,DPW Maintained,Lophostemon confertus :: Brisbane Box,1500X Portola Dr,1.0,Median : Cutout,DPW,1/16/06 0:00,3,3X3,37.73667874,-122.4693298,Lophostemon,Lophostemon confertus,Brisbane Box,2006,2006-01-16 00:00:00,18
907,100131,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,155 05th St,3.0,Sidewalk: Curb side : Cutout,Private,10/2/12 0:00,3,3x3,37.78198244,-122.405412,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2012,2012-10-02 00:00:00,12
937,63395,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,345 Taylor St,1.0,Sidewalk: Curb side : Cutout,Private,2/18/87 0:00,6,,37.78564369,-122.411357,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1987,1987-02-18 00:00:00,37
955,164229,Section 806 (d),Lophostemon confertus :: Brisbane Box,2401 17th Ave,2.0,Sidewalk: Curb side : Cutout,Private,8/12/20 0:00,3,3x3,37.74282422,-122.4736131,Lophostemon,Lophostemon confertus,Brisbane Box,2020,2020-08-12 00:00:00,4
959,22431,Permitted Site,Lophostemon confertus :: Brisbane Box,5945 03rd St,2.0,Sidewalk: Curb side : Cutout,Private,1/18/08 0:00,3,3X3,37.72396111,-122.394868,Lophostemon,Lophostemon confertus,Brisbane Box,2008,2008-01-18 00:00:00,16
969,2695,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2111 Bush St,1.0,Sidewalk: Curb side : Cutout,DPW,11/17/03 0:00,3,3x3,37.7872832,-122.431948,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,2003,2003-11-17 00:00:00,21
988,90420,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,170 Duboce Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2/22/08 0:00,3,3x3,37.76982832,-122.4239387,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2008,2008-02-22 00:00:00,16
1004,28920,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,310 07th St,1.0,Sidewalk: Curb side : Cutout,Private,2/11/06 0:00,3,3x3,37.7763267,-122.4074736,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2006,2006-02-11 00:00:00,18
1012,91016,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,4045 Cabrillo St,1.0,Sidewalk: Curb side : Cutout,DPW,11/24/08 0:00,3,3x3,37.77354162,-122.5023333,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,2008,2008-11-24 00:00:00,16
1053,29340,DPW Maintained,Lophostemon confertus :: Brisbane Box,1500X Portola Dr,6.0,Median : Cutout,DPW,1/16/06 0:00,3,3X3,37.73667874,-122.4693298,Lophostemon,Lophostemon confertus,Brisbane Box,2006,2006-01-16 00:00:00,18
1064,8051,Permitted Site,Pittosporum undulatum :: Victorian Box,601X Fulton St,2.0,Sidewalk: Curb side : Cutout,Private,5/7/90 0:00,12,3x3,37.77824291,-122.4267982,Pittosporum,Pittosporum undulatum,Victorian Box,1990,1990-05-07 00:00:00,34
1078,27822,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,350X The Embarcadero,21.0,Sidewalk: Curb side : Cutout,Port,7/15/94 0:00,12,4x4,37.79806025,-122.3963595,Platanus,Platanus x,Sycamore: London Plane,1994,1994-07-15 00:00:00,30
1119,44731,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1250 Quintara St,3.0,Sidewalk: Curb side : Cutout,Private,4/3/01 0:00,4,,37.74860367,-122.4789302,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2001,2001-04-03 00:00:00,23
1120,21891,DPW Maintained,Lophostemon confertus :: Brisbane Box,2030 03rd St,1.0,Sidewalk: Curb side : Cutout,Private,11/22/99 0:00,3,2X3,37.76374553,-122.3889508,Lophostemon,Lophostemon confertus,Brisbane Box,1999,1999-11-22 00:00:00,25
1121,102636,DPW Maintained,Pittosporum undulatum :: Victorian Box,2176 Mission St,2.0,Sidewalk: Curb side : Cutout,Private,2/8/13 0:00,3,5x5,37.76220528,-122.4194426,Pittosporum,Pittosporum undulatum,Victorian Box,2013,2013-02-08 00:00:00,11
1124,60874,DPW Maintained,Lophostemon confertus :: Brisbane Box,801 Greenwich St,1.0,Sidewalk: Curb side : Cutout,Private,3/21/02 0:00,7,,37.80179415,-122.4131496,Lophostemon,Lophostemon confertus,Brisbane Box,2002,2002-03-21 00:00:00,22
1146,27795,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,900X The Embarcadero,1.0,Sidewalk: Curb side : Cutout,Port,12/18/00 0:00,24,,37.80019555,-122.3987633,Platanus,Platanus x,Sycamore: London Plane,2000,2000-12-18 00:00:00,24
1163,29942,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,206 Broad St,1.0,Sidewalk: Curb side : Cutout,Private,3/10/07 0:00,3,3x3,37.7132593,-122.4593678,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2007,2007-03-10 00:00:00,17
1164,67254,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2107 47th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1/4/94 0:00,4,,37.7470841,-122.5061415,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1994,1994-01-04 00:00:00,30
1169,86524,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1419 27th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,12/26/06 0:00,3,3x3,37.76088472,-122.4856059,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2006,2006-12-26 00:00:00,18
1179,29508,Permitted Site,Lophostemon confertus :: Brisbane Box,1850X Ingalls St,2.0,Sidewalk: Curb side : Cutout,Fire Dept,2/28/06 0:00,3,3x3,37.72775297,-122.3851088,Lophostemon,Lophostemon confertus,Brisbane Box,2006,2006-02-28 00:00:00,18
1189,51217,DPW Maintained,Pittosporum undulatum :: Victorian Box,148 Hamilton St,1.0,Sidewalk: Curb side : Cutout,Private,8/11/04 0:00,5,,37.72898889,-122.4108148,Pittosporum,Pittosporum undulatum,Victorian Box,2004,2004-08-11 00:00:00,20
1203,262267,Section 806 (d),Tristaniopsis laurina :: Swamp Myrtle,10X Restani Stwy,1.0,Unaccepted Street : Yard,Private,6/19/20 0:00,3,3x3,37.71849332,-122.443402,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2020,2020-06-19 00:00:00,4
1204,5129,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2775 Diamond St,1.0,Sidewalk: Curb side : Cutout,DPW,7/18/83 0:00,10,3X3,37.73520158,-122.4337483,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1983,1983-07-18 00:00:00,41
1206,15223,DPW Maintained,Lophostemon confertus :: Brisbane Box,1201 Mission St,2.0,Sidewalk: Curb side : Cutout,DPW,3/7/95 0:00,12,3X3,37.77718866,-122.4133326,Lophostemon,Lophostemon confertus,Brisbane Box,1995,1995-03-07 00:00:00,29
1208,27384,Permitted Site,Lophostemon confertus :: Brisbane Box,2200 Hyde St,1.0,Sidewalk: Curb side : Cutout,Private,11/20/18 0:00,3,3X3,37.80119183,-122.4193687,Lophostemon,Lophostemon confertus,Brisbane Box,2018,2018-11-20 00:00:00,6
1210,86265,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1686 25th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,12/12/06 0:00,3,3x3,37.7560768,-122.4829805,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2006,2006-12-12 00:00:00,18
1219,15759,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,4723 Mission St,1.0,Sidewalk: Curb side : Cutout,DPW,8/5/19 0:00,1,3x3,37.72263968,-122.4362275,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2019,2019-08-05 00:00:00,5
1254,31645,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,4500 Ulloa St,1.0,Sidewalk: Curb side : Cutout,Private,10/31/05 0:00,4,,37.73997613,-122.5046881,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,2005,2005-10-31 00:00:00,19
1263,62192,DPW Maintained,Pittosporum undulatum :: Victorian Box,129 Santa Ynez Ave,1.0,Sidewalk: Curb side : Cutout,Private,9/20/85 0:00,14,,37.72485103,-122.4407694,Pittosporum,Pittosporum undulatum,Victorian Box,1985,1985-09-20 00:00:00,39
1275,201699,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,342 08th St,7.0,Sidewalk: Curb side : Cutout,Private,9/12/17 0:00,3,3x6,37.77384185,-122.4087909,Lophostemon,Lophostemon confertus,Brisbane Box,2017,2017-09-12 00:00:00,7
1289,65641,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,510 46th Ave,1.0,Sidewalk: Curb side : Cutout,Private,3/22/90 0:00,12,,37.77874774,-122.507135,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1990,1990-03-22 00:00:00,34
1302,91009,Permitted Site,Pittosporum undulatum :: Victorian Box,251 Balboa St,3.0,Sidewalk: Curb side : Cutout,Private,7/10/13 0:00,3,3x3,37.77730075,-122.4613386,Pittosporum,Pittosporum undulatum,Victorian Box,2013,2013-07-10 00:00:00,11
1327,265206,Private,Lophostemon confertus :: Brisbane Box,1200 Franklin St,5.0,Sidewalk: Curb side : Cutout,Private,1/21/21 0:00,3,,37.78551855,-122.4229648,Lophostemon,Lophostemon confertus,Brisbane Box,2021,2021-01-21 00:00:00,3
1328,53157,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1783@ NEWHALL Quesada Ave,2.0,Sidewalk: Curb side : Cutout,Private,11/2/06 0:00,4,,37.7341302,-122.3930448,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2006,2006-11-02 00:00:00,18
1336,27915,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,100 The Embarcadero,9.0,Sidewalk: Curb side : Cutout,Port,2/1/01 0:00,12,3X3,37.78105676,-122.3886575,Platanus,Platanus x,Sycamore: London Plane,2001,2001-02-01 00:00:00,23
1345,91962,DPW Maintained,Pittosporum undulatum :: Victorian Box,145 Irving St,2.0,Sidewalk: Curb side : Cutout,DPW,2/19/09 0:00,3,3x3,37.76428975,-122.4592961,Pittosporum,Pittosporum undulatum,Victorian Box,2009,2009-02-19 00:00:00,15
1358,34511,DPW Maintained,Lophostemon confertus :: Brisbane Box,18 Lansing St,2.0,Sidewalk: Curb side : Cutout,Private,7/17/97 0:00,2,,37.78619932,-122.393859,Lophostemon,Lophostemon confertus,Brisbane Box,1997,1997-07-17 00:00:00,27
1373,28905,Permitted Site,Pittosporum undulatum :: Victorian Box,360X 05th St,2.0,Sidewalk: Curb side : Cutout,Private,2/11/06 0:00,7,3X3,37.77958336,-122.4026556,Pittosporum,Pittosporum undulatum,Victorian Box,2006,2006-02-11 00:00:00,18
1376,38890,DPW Maintained,Pittosporum undulatum :: Victorian Box,633 Palm Ave,2.0,Sidewalk: Curb side : Cutout,Private,11/2/98 0:00,7,,37.78449769,-122.4580563,Pittosporum,Pittosporum undulatum,Victorian Box,1998,1998-11-02 00:00:00,26
